Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged
"Jackson, Tiffany D",Monday's Not Coming,Canyons School District,Utah,yes,parent emailed complaint - books pulled,no,Removed While Under Review,violation of policy,,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,Canyons School District,Utah,yes,parent emailed complaint - books pulled,no,Removed While Under Review,violation of policy,,,,,,,
"Morrison, Toni",The Bluest Eye,Canyons School District,Utah,yes,parent emailed complaint - books pulled,no,Removed While Under Review,violation of policy,,,,,,,
"Sones, Sonya",The Opposite of Innocent,Canyons School District,Utah,yes,parent emailed complaint - books pulled,no,Removed While Under Review,violation of policy,,,,,,,
"Gyasi, Yaa",Homegoing,Carmel  Clay Schools,Indiana,yes,,unknown,removed from class,had been English/History assigned reading - removed,,,,,,,
"Devenny, Jenny",Race Cars,Carmel  Clay Schools,Indiana,yes,,unknown,Disappeared from Library,,,,,,,,
"Maas, Sarah J",A Court of Silver FLames,Carmel  Clay Schools,Indiana,yes,,unknown,Removed from Library,,,,,,,,
"Thompson, Craig",Blankets,Carmel  Clay Schools,Indiana,yes,,unknown,Removed from Library,,,,,,,,
"Lukoff, Kyle",Call Me Max,Carmel  Clay Schools,Indiana,yes,,no,Restricted Permanently,,"AT Elementary School - moved to 'RESOURCE LIBRARY"" WHICH IS A COLLECTION ACCESSIBLE BY TEACHERS AND PARENTS TO REACH WITH CHILDREN",,,,,,
"Hopkins, Ellen",Crank,Carmel  Clay Schools,Indiana,yes,,no,removed,"Removed due to ""age and lack of interest from students""",,,,,,,
"Pardes, Bronwen","Doing it right : making
 smart, safe, and satisfying
 choices about sex",Carmel  Clay Schools,Indiana,yes,,no,removed,"Removed due to ""age and lack of interest from students""",,,,,,,
"Walton, Jessica",Introducing Teddy,Carmel  Clay Schools,Indiana,yes,These two books were part of the complaint and part of the effort on the advisory committee to search for and they announced that they were not found - I think it's important but it might not be important to count here.,no,n/a,Challenged - but never in Carmel Clay Scvhools,,,,,,,
"Harris, Robie H.","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health 1994 VERSION",Carmel  Clay Schools,Indiana,yes,"We'll call this the ""third way"" schools can choose to deal with troublesome books. I'd love to see the advisory committee notes on these decisions. BUT IS THIS SOMETHING YOU WANT COUNTED. ",no,removed,"Removed due to ""age and lack of interest from students""",,,,,,,
"Harris, Robie H.","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health 2014 vERSION",Carmel  Clay Schools,Indiana,yes,,no,Restricted Permanently,,"AT Elementary School - moved to 'RESOURCE LIBRARY"" WHICH IS A COLLECTION ACCESSIBLE BY TEACHERS AND PARENTS TO REACH WITH CHILDREN",,,,,,
"Scheeres, Julia",Jesus Land: A Memoir,Carmel  Clay Schools,Indiana,yes,,no,removed,unclear,,,,,,,
"Myracle, Lauren","L8R, G8R",Carmel  Clay Schools,Indiana,yes,"We'll call this the ""third way"" schools can choose to deal with troublesome books. I'd love to see the advisory committee notes on these decisions. BUT IS THIS SOMETHING YOU WANT COUNTED. ",no,removed,"Removed due to ""age and lack of interest from students""",,,,,,,
"Finch, Michelle and Phoenix FInch",Phoenix Goes To School,Carmel  Clay Schools,Indiana,yes,,no,Retained,Challenged - REtained in Elementary School,,,,,,,
"Newman, Lesléa",Sparkle Boy,Carmel  Clay Schools,Indiana,yes,These two books were part of the complaint and part of the effort on the advisory committee to search for and they announced that they were not found - I think it's important but it might not be important to count here.,no,n/a,Challenged - but never in Carmel Clay Scvhools,,,,,,,
"Myracle, Lauren",The Infinite Moment of Us,Carmel  Clay Schools,Indiana,yes,,no,removed,"Removed due to ""age and lack of interest from students""",,,,,,,
"Ramee, Lisa Moore",A good Kind of Trouble,Carroll Independent School District,Texas,yes,Teachers Pulled After SD rules,no,Restricted Permanently,,"Based on new guidance from district, teachers had to clean out their classroom libraries",,,,,,
"Morrison, Toni",ALL books,Carroll Independent School District,Texas,yes,Teachers Pulled After SD rules,no,Restricted Permanently,,"Based on new guidance from district, teachers had to clean out their classroom libraries",,,,,,
"Tonatiuh, Duncan",Separate is Never Equal,Carroll Independent School District,Texas,yes,Teachers Pulled After SD rules,no,Restricted Permanently,,"Based on new guidance from district, teachers had to clean out their classroom libraries",,,,,,
"Thomas, Angie",The Hate U Give,Carroll Independent School District,Texas,yes,Teachers Pulled After SD rules,no,Restricted Permanently,,"Based on new guidance from district, teachers had to clean out their classroom libraries",,,,,,
"Jewell, Tiffany",This Book Is Anti-Racist,Carroll Independent School District,Texas,yes,Teacher reprimanded after it was found in her library,no,Restricted Permanently,,"Based on new guidance from district, teachers had to clean out their classroom libraries",,,,,,
,The Kite Runner,Cedarsburg School District,Wisconsin,n/a,3/2022,Formal Challenge Filed,waiting for decision - still on shelves,,,,,,,,
"Kabobe, Maria",Gender Queer: A Memoir,Central Kitsap,Washington,yes,,yes,Temporary Ban,Returned to shelves (Dec) after Superindent reversed decision. ,,Superintendent said policy had not been followed.,,,,,
"Lassieur, Allison",25 Women Who Dared to Go,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Sherman, Jill",25 Women Who Fought Back,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Stanborough, Rebecca J",25 Women Who Rules,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Sherman, Jill",25 Women Who Thought of It First,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Adeyoha, Koja and Angel","47,000 Beads",Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Lin, Grace",A Big Mooncake for Little Star,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Boelts, Maribeth",A Bike Like Sergio's,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Arnold, Elana",A Boy Called Bat,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Arnold, Elana K",A Boy Called Bat,Central York,Pennslyvania,,and MANY more,,,,,,,,,,
"Memory, Jelani",A Kids Book About Racism,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Byrant, Jen",A Splash of Red: The Life and Art of Horace Pippen,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Wallmark, Laurie",Ada Byron Lovelace & the Thinking Machine,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Fuerst, Jeffrey",African American Cowboys: True Heroes of the Old West,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
Undefeated,"Alexander, Kwame and Kadir Nelson",Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Reynolds, Jason and Brendan Kiely",All American Boys,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Penfold, Alexandra",All are Welcome,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Penfold, Alexandra",All Are Welcome,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Johnson, George M",All Boys Aren't blue,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Kissinger, Katie",All the Colors We Are,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Scanlon, Liz Garlan",All the World,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
A is for Audra: Broadway's Leading Ladies from A to Z,"Allman, John Robert",Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Martinez-Neal, Juana",Alma and How She Got Her Name,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Martinez-Neal, Juana",Alma and How She Got Her Name,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Wyeth, Sharon Dennis",Always My Dad,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Saeed, Aisha",Amal Unbound,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Hoffman, Mary",Amazing Grace,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Hoffman, Mary and Caroline Binch",Amazing Grace,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Chin-Lee, Cynthia",Amelia to Zora: Twenty Six Women Who Changed the World,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Ortiz, Paul",An African American and Latinx History of the United States ,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Dunbar-Ortiz, Roxanne and Debbie Reese",An Indigenous People's History of the United States,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
Atinuke,Anna Hibiscus,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Robinson, Christian",Another,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Brown, Tameka Fryer",Around Our Way on Neighbor's Way,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Reynolds, Jason",As Brave as You,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Tuok, Pamela",As Fast as Words Could Fly,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Arnold, Elana",Bat and the End of Everything,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Arnold, Elana",Bat and the Waiting Game,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Rhodes, Jewell Parker",Bayou Magic,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
"Willems, Jacqueline",Because,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,
